Rank, ,Player,Position,Draft Age,Height,Wingspan,Weight,GP,MPG,PTS/G,AST/G,TOV/G,STL/G,BLK/G,ORB/G,DRB/G,TRB/G,PF/G,2P%,3P%,FT%,eFG%,TS%,USG%,AST%,TOV%,STL%,BLK%,ORB%,DRB%,TRB%,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
52,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683935.png&w=350&h=254"" height=""40""></img>",Blake Wesley,Wing,19.3,77,"6'11""",185,12,25,13.3,2.2,2.2,0.6,0.2,0.8,2.2,2.9,2.2,37,21,23,52.7,54.7,30.9,20.3,15.1,1.4,0.7,3.7,10.4,7.1,103.1,102.6,0.6,0.4,1,2.9,-1.1,1.8
53,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4395697.png&w=350&h=254"" height=""40""></img>",Matthew Mayer,Wing,21.7,81,"6'10""",225,12,21.6,9.2,1.3,1,1.5,1,1.1,3.5,4.6,2.3,27,16,8,46.400000000000006,47.3,23.2,9.8,9.4,3.9,5.4,5.7,18.1,12,105.2,77.1,0.4,1,1.4,2.6,5.7,8.3
54,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397537.png"" height=""40""></img>",Taevion Kinsey,Wing,22.3,77,NA,190,14,37.1,19.2,3.9,2.9,0.8,0,2.4,3.1,5.4,1.5,89,8,67,43,48.6,27.7,19.1,12.9,1.1,0,6.2,8.5,7.3,101.8,105.9,0.8,0.5,1.3,-0.4,-3.4,-3.8
55,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433136.png&w=350&h=254"" height=""40""></img>",Walker Kessler,Big,20.9,85,"7'4""",245,13,23.1,10,0.9,1,1.1,4.2,2.2,5.2,7.5,2.1,51,4,16,58.8,58.9,19.6,7.6,10.5,2.6,20.6,10.4,23.9,17.2,120.2,76.7,0.9,1.1,2,5.4,8.5,13.9
56,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701031.png"" height=""40""></img>",Jordan Hall,Lead Guard,20.4,81,NA,215,12,34.3,16.3,6.5,3.7,1.3,0.3,1.2,5.5,6.7,1.9,43,28,26,49.1,51.4,27.7,38.3,18.8,2.2,0.9,3.7,16.7,10.3,103.5,97,0.8,0.7,1.5,4.4,1.7,6.1
57,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4600663.png&w=350&h=254"" height=""40""></img>",Zach Edey,Big,20.3,88,NA,295,13,17.5,14.9,1.2,1.8,0.4,1.5,2.8,4.5,7.3,1.7,75,0,44,72.8,73.8,33.8,16.6,15.4,1.3,9.8,20.8,27.3,24.4,135.9,88.4,1.7,0.6,2.3,12.3,4,16.3
58,"<img src=""https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4691165.png"" height=""40""></img>",Marcus Bagley,Wing,20.7,79.8,"6'11""",216.8,3,22.7,10,1.3,2,0.3,0,1.3,2.7,4,1,5,5,5,48.1,51.2,26.2,13.2,17,0.9,0,6.1,12.7,9.3,95.6,102.3,0.1,0.1,0.1,1.8,-0.4,1.4
59,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431767.png&w=350&h=254"" height=""40""></img>",Christian Braun,Wing,21.2,78,NA,218,12,31.9,17,3,1.8,1.4,1.3,1.6,4.6,6.2,1.9,65,13,35,63.5,66.9,21.9,15.9,12.1,2.5,4.8,6.1,17.6,11.9,133.1,91.8,1.7,0.9,2.6,9.1,4,13.1
60,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431695.png&w=350&h=254"" height=""40""></img>",Drew Timme,Big,21.8,82,"7'0 1/2 """,235,13,26.5,16.7,2.2,2.5,0.2,0.8,1.4,4.5,5.9,1.5,76,2,59,61.7,64.3,28.3,14.8,16.3,0.5,3.1,6.4,16.7,12.1,119.8,89.2,1.4,0.9,2.3,6.1,2.4,8.5
61,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431684.png"" height=""40""></img>",Trayce Jackson-Davis,Big,22.3,81,"7'0""",245,12,31.9,19.3,1.8,1.8,0.7,3.2,2.2,6.3,8.5,1.3,89,0,53,61.8,63.800000000000004,26.3,12.8,10.8,1.2,10.8,8.6,19.8,14.8,125.6,81,1.7,1.3,3,7.3,4.8,12.2
62,"<img src=""https://www.romagnasport.com/public/news/basket/w325/gabriele-procida-2021.png"" height=""40""></img>",Gabriele Procida,Wing,20.1,80,NA,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702372.png"" height=""40""></img>",Azuolas Tubelis,Big,20.3,83,"6'11""",245,12,25.4,15.3,2.9,2.2,1.1,1,1.8,4.8,6.5,2.3,66,4,39,60,61.8,25.8,19.8,14.9,2.2,4,7.9,17.9,13.4,120.2,82.8,1.2,1,2.1,5.8,5.2,11
64,"<img src=""https://id-prospects.com/wp-content/uploads/2020/09/pixlr-bg-result-53-e1600135264650.png"" height=""40""></img>",Khalifa Diop,Big,20.4,83,"7'3""",231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
