Rank, ,Player,Position,Draft Age,Height,Wingspan,Weight,GP,MPG,PTS/G,AST/G,TOV/G,STL/G,BLK/G,ORB/G,DRB/G,TRB/G,PF/G,2P%,3P%,FT%,eFG%,TS%,USG%,AST%,TOV%,STL%,BLK%,ORB%,DRB%,TRB%,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
100,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397251.png"" height=""40""></img>",Ron Harper,Wing,23.2,78,NA,245,12,32.4,14.9,2.1,1.8,1.5,0.5,1.7,5.8,7.4,1.3,36,23,38,50.4,54.2,24.3,13.5,11.3,2.7,1.9,5.5,19.9,12.5,109.3,94.1,0.9,0.8,1.7,4.4,1.8,6.2
101,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4278585.png"" height=""40""></img>",Collin Gillespie,Lead Guard,23,75,NA,190,13,34.1,16.5,3.2,1.5,1.5,0,0.6,2.7,3.3,1.8,28,42,32,57.99999999999999,61.3,23.2,20.6,9.8,2.6,0,2.1,9.3,5.6,126.9,99.1,1.8,0.7,2.5,7.4,3.2,10.6
102,"<img src=""https://eurospects.com/wp-content/uploads/2018/10/zugic.jpg"" height=""40""></img>",Fedor Zugic,Wing,18.8,77.75,NA,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896850.png"" height=""40""></img>",Taran Armstrong,Lead Guard,20.4,77,NA,185,12,31.4,10.8,7.5,3,0.8,0.3,0.9,5.6,6.5,1.8,41,8,23,49.1,52.2,21.2,41.6,22.5,1.4,0.9,3.5,18.3,11.4,106.9,90.1,0.8,0.9,1.7,2.1,0.6,2.7
104,"<img src=""NA"" height=""40""></img>",Luke Travers,Forward,20.8,80,NA,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432183.png"" height=""40""></img>",Makur Maker,Big,21.6,83.25,"7'1 3/4 """,232.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"<img src=""https://id-prospects.com/wp-content/uploads/2020/09/pixlr-bg-result-18.png"" height=""40""></img>",Mario Nakic,Wing,21,79.8,NA,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,"<img src=""NA"" height=""40""></img>",Boogie Ellis,Lead Guard,21.5,75,NA,180,12,30.4,11.8,3.1,1.7,1,0.1,0.4,3.6,4,2.3,37,16,19,52.1,54.300000000000004,20.6,16.9,13.3,1.9,0.3,1.6,11,6.8,110.5,91.7,0.7,0.8,1.6,0.7,2.7,3.4
108,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432250.png"" height=""40""></img>",Justin Powell,Combo Guard,21.1,78,NA,195,11,18.5,7.1,0.9,0.5,0.5,0.2,0.6,1.5,2.1,0.5,13,15,7,62.3,62.7,16,8.4,7.4,1.4,1.2,3.6,9,6.2,128,93.3,0.6,0.4,1,5.1,2.5,7.5
109,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592491.png&w=350&h=254"" height=""40""></img>",Justin Moore,Wing,22.2,75.8,"6'8""",210,13,33.8,14.8,2.3,1.6,1.3,0.1,0.8,4,4.8,2.4,44,28,20,49.7,51.300000000000004,25.1,15,10.1,2.4,0.3,2.9,13.9,8.3,107.1,97.7,0.9,0.8,1.7,3.2,2.5,5.7
110,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432887.png"" height=""40""></img>",Tyson Etienne,Lead Guard,22.8,74,NA,200,12,33.4,14.9,2.2,2,1.3,0.1,0.6,1.8,2.4,2.4,28,30,33,43.7,47.599999999999994,26.3,14.9,11.3,2.1,0.3,1.9,6.5,4.1,98.7,96.2,0.4,0.8,1.2,0.5,0.9,1.4
111,"<img src=""NA"" height=""40""></img>",Jalen Wilson,Forward,21.6,80,NA,225,9,19.4,5.9,1.3,0.9,0.7,0.1,1,4.9,5.9,1.2,20,2,7,40.400000000000006,40.699999999999996,20.2,10.3,10.9,1.9,0.7,6.3,30.8,18.6,93.7,91.6,0.1,0.4,0.5,-0.1,1.3,1.3
112,"<img src=""NA"" height=""40""></img>",Earl Timberlake,Wing,21.6,78,"6'9 3/4 """,220,11,19.3,6.3,2.5,1.8,0.6,0.5,0.8,2.9,3.7,2.7,25,0,19,47.199999999999996,52,18.6,22.5,23.2,1.8,3.2,5.1,15.8,10.8,102.1,95.9,0.2,0.4,0.7,-0.1,2.7,2.6
113,"<img src=""NA"" height=""40""></img>",Colby Jones,Wing,20.1,78,"6'8 1/2 """,207,12,29.8,11.5,2.6,2,1.5,0.6,3,5.2,8.2,1.8,38,9,35,56.00000000000001,59.9,18.9,16.6,17.2,2.8,2,11.6,18.1,15,119.9,86.8,1,1,2.1,5,4,9
114,"<img src=""NA"" height=""40""></img>",Abramo Canka,Wing,20.3,78,NA,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,"<img src=""NA"" height=""40""></img>",Orlando Robinson,Big,22,83.25,"7'3 1/2 """,239.6,14,31.6,18.7,2.6,2.4,1.1,1.6,2.9,5.1,8,2,80,14,60,55.50000000000001,60.3,31.2,21.3,13.2,2.3,7,11.3,20.7,15.9,120.4,84.8,2.1,1.3,3.4,10,4.2,14.2
116,"<img src=""NA"" height=""40""></img>",Nikita Mikhailovskii,Wing,21.8,79,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,"<img src=""NA"" height=""40""></img>",Adam Flagler,Combo Guard,22.6,75,NA,180,12,26.8,10.7,3.9,1.5,1.3,0.1,0.8,1.7,2.4,0.8,26,21,13,50.9,53.1,20.3,22.5,13,2.6,0.4,3.2,6.9,5.1,117.1,87.2,0.9,0.9,1.8,5,3.4,8.3
118,"<img src=""NA"" height=""40""></img>",Oscar Tshiebwe,Big,22.6,80.75,"7'4 1/4 """,258,13,28.1,15.8,1,1.8,1.3,1.5,5.7,9.5,15.2,2.5,83,0,39,62.9,65.4,23,6,12.8,2.6,5.5,23.5,35.4,29.8,134.9,75.9,1.9,1.4,3.3,9,3.8,12.8
119,"<img src=""NA"" height=""40""></img>",Yoan Makoundou,Forward,21.9,81,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,"<img src=""NA"" height=""40""></img>",Kobe Bufkin,Combo Guard,18.8,76,NA,175,9,10.8,4.8,0.2,0.6,0.6,0.2,0.3,1.6,1.9,0.7,10,4,11,53.300000000000004,58.699999999999996,21.7,3.8,12,3,2.1,3.8,15.3,9.9,114.9,93.7,0.2,0.2,0.4,2.5,4,6.5
121,"<img src=""NA"" height=""40""></img>",Dawson Garcia,Forward,20.8,82.5,"6'10 3/4 """,224.6,12,22.8,10.8,0.9,1.6,0.4,0.3,2.2,3.6,5.8,2.2,32,11,33,51.1,56.49999999999999,24.1,7.3,14.2,1,1.1,11.4,16.5,14.1,113.7,102.6,0.8,0.3,1.1,3.1,-0.2,2.9
122,"<img src=""NA"" height=""40""></img>",Paul Scruggs,Combo Guard,24.3,76,"6'10 1/2 """,196,13,29.6,10.4,4.2,3.2,1.5,0.6,0.8,3.7,4.5,2.3,34,14,25,44,47.8,23,26.5,22.5,2.8,2.2,3,13,8.3,94,88.8,0.2,1,1.2,0.4,3.5,3.9
123,"<img src=""NA"" height=""40""></img>",Jordan Hawkins,Wing,20.2,77,NA,170,11,16.7,6.5,0.6,1,0.6,0.3,0.6,1.7,2.4,1.2,13,10,16,43.1,48,22.5,7,12.8,2.2,1.7,4.1,11.1,7.6,99.4,89.5,0.2,0.5,0.6,-0.1,1.5,1.4
124,"<img src=""NA"" height=""40""></img>",Donta Scott,Forward,21.5,80,NA,230,12,32,11.3,1.2,1.8,0.7,1,1.7,5.7,7.3,1.6,36,14,22,44.9,48.5,21.1,7.7,13.6,1.2,3.4,5.8,18.6,12.4,96.8,95.5,0.3,0.7,1,1,1,1.9
125,"<img src=""NA"" height=""40""></img>",Tom Digbeu,Combo Guard,20.7,78,NA,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,"<img src=""NA"" height=""40""></img>",Kenneth Lofton,Big,19.9,79,NA,275,13,25.2,17.5,1.7,2.2,0.9,1,3.9,6,9.9,2.5,87,1,51,59,61.1,32.1,15,13.5,2,4.3,17.4,24.9,21.3,120.5,91.1,1.6,0.8,2.4,8.4,0.4,8.8
127,"<img src=""NA"" height=""40""></img>",Dalen Terry,Combo Guard,19.9,79,"7'0 3/4 """,195,12,24.1,6.3,3.8,0.9,1.2,0.6,1.2,2.9,4.1,2.3,26,5,8,48.6,50.8,13.3,22.7,13,2.6,2.5,5.6,11.6,8.9,121.7,85.9,0.7,0.8,1.5,2.6,5.9,8.6
128,"<img src=""NA"" height=""40""></img>",Zsombor Maronka,Forward,19.8,82,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,"<img src=""NA"" height=""40""></img>",Davonte Davis,Combo Guard,20.7,76,"6'8""",180,13,30.2,10.7,4,2,1.2,0,1.1,3.5,4.5,2.8,47,9,18,51.300000000000004,52.900000000000006,18.9,23,16.5,2.2,0,4,13.4,8.6,107.7,100.1,0.7,0.6,1.3,0.7,1.3,2.1
130,"<img src=""NA"" height=""40""></img>",Moussa Cisse,Big,19.8,83.75,"7'4 1/2 """,214.6,10,16.4,5.8,0.6,1.5,0.4,2,2.1,3.6,5.7,2.1,23,0,12,50,50.9,20.6,6.9,20.9,1.3,14,14.5,23.5,19.1,97,84.2,0.1,0.5,0.6,-1.6,3.4,1.9
131,"<img src=""NA"" height=""40""></img>",Hunter Dickinson,Big,21.6,85,"7'3 3/4 """,257.6,12,30.3,15.3,1.9,2,0.6,1.1,2.8,6.2,9,2.5,76,5,17,60.5,61.199999999999996,24.3,13.8,13.8,1.1,3.7,11.4,21.6,16.8,119.3,94.4,1.3,0.7,2,6,2.4,8.3
132,"<img src=""NA"" height=""40""></img>",Pavel Savkov,Wing,20.2,79,NA,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,"<img src=""NA"" height=""40""></img>",Andre Jackson,Wing,20.6,78,NA,205,13,27.6,7.2,2.6,2.1,1.4,0.8,1.5,6.5,8,1.8,25,7,22,54.6,59,14.2,16.3,25.5,2.8,3.2,5.7,25.5,15.6,108,81.4,0.5,1.2,1.7,2.5,5.4,8
134,"<img src=""NA"" height=""40""></img>",Marcus Carr,Lead Guard,23,74,"6'6 3/4 """,197.6,13,27.8,9.5,3.2,1.8,1.2,0,0.1,1.7,1.8,2.2,30,15,18,47.699999999999996,50.7,21.5,21.2,16.5,2.6,0,0.4,7.6,4,102.4,85.9,0.5,1.1,1.5,-0.8,2.3,1.5
135,"<img src=""NA"" height=""40""></img>",Ruben Dominguez,Wing,19.4,78,NA,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,"<img src=""NA"" height=""40""></img>",Jaden Shackelford,Combo Guard,21.4,75,NA,200,13,33.4,16.5,1.3,2.2,0.6,0.3,1.3,5.1,6.4,1.8,34,43,17,54.400000000000006,55.300000000000004,23.6,6.9,12.6,1,0.9,4.3,15.3,10.1,109.9,102.8,0.9,0.5,1.5,4.7,1,5.6
137,"<img src=""NA"" height=""40""></img>",Fanbo Zeng,Forward,19.4,83,NA,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,"<img src=""NA"" height=""40""></img>",Osun Osunniyi,Big,21.7,82,"7'8""",190,11,28.2,10,1.5,1.5,0.5,3,2.5,4.2,6.6,2.1,53,0,4,63.1,61.6,17.6,10.6,15.2,0.9,13.5,10.2,16.7,13.5,116.5,97.3,0.7,0.5,1.3,3,2.6,5.5
139,"<img src=""NA"" height=""40""></img>",Kok Yat,Wing,19,80,NA,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"<img src=""NA"" height=""40""></img>",Dominick Barlow,Forward,19.1,81,NA,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,"<img src=""NA"" height=""40""></img>",Jonathan Tchamwa Tchatchoua,Big,23.2,82,NA,230,13,20.9,8.6,1,1.2,0.5,0.2,2.5,5.5,8,2.2,43,4,14,67.10000000000001,68.30000000000001,16.9,7.6,16.3,1.2,0.9,13.4,29.5,21.5,129.3,81.4,0.9,0.9,1.8,4.8,2.8,7.6
142,"<img src=""NA"" height=""40""></img>",DeVante Jones,Combo Guard,24.2,73,"6'6""",202,12,26.9,8.2,4,1.9,0.8,0.1,1.3,3.5,4.8,2.8,26,11,13,55.2,56.3,17.2,26.2,20.9,1.8,0.3,5.7,13.7,10,113.1,98,0.7,0.6,1.2,2.4,2.5,4.9
143,"<img src=""NA"" height=""40""></img>",Charles Bediako,Big,20.3,84,NA,225,13,19.1,6.8,0.8,0.9,0.9,1.8,1.8,2.6,4.4,3.2,37,0,15,69.8,66.2,14.8,6.8,15.1,2.6,9.9,10.2,13.8,12.1,126.5,94.3,0.7,0.5,1.2,2.6,6.3,8.9
144,"<img src=""NA"" height=""40""></img>",Dereon Seabron,Wing,22.1,79,NA,180,14,36.6,19.6,3.3,2.9,1.6,0,3.3,6.5,9.8,1.7,99,4,64,55.300000000000004,58.599999999999994,26.3,20.3,14.6,2.6,0,9.3,20.4,14.5,117.7,104.1,1.9,0.6,2.5,6.5,0.1,6.6
145,"<img src=""NA"" height=""40""></img>",Samuell Williamson,Wing,21.8,79,NA,210,12,17.7,6.1,0.5,1.5,0.4,0.2,1.3,3.7,4.9,1.6,29,1,12,43.6,45.4,22.7,5.9,18.3,1.3,1.1,7.5,21.5,14.6,85.9,92.6,-0.1,0.5,0.4,-3.4,1.4,-2
146,"<img src=""NA"" height=""40""></img>",Landers Nolley,Wing,22.3,79,NA,220,12,23.7,9.4,2.8,1.7,0.8,0.3,0.9,2.9,3.8,1.6,19,17,24,44.1,48.6,22,20.9,14.7,1.7,1.2,4.6,12.9,9,107.2,98.7,0.5,0.5,1,2.2,0.7,2.9
147,"<img src=""NA"" height=""40""></img>",Nate Laszewski,Forward,22.9,82,NA,227,12,28.1,7.6,0.7,1.2,0.5,0.9,1.3,5.8,7.2,2.9,17,18,3,56.39999999999999,57.3,14.9,4.6,15,1.1,3.6,5.9,24.9,15.5,107,96.8,0.4,0.6,1,-0.4,0.4,0.1
148,"<img src=""NA"" height=""40""></img>",David Roddy,Forward,21.2,77,NA,252,10,29.6,20.5,2.4,2,1.1,1.3,1.3,6.4,7.7,1.9,61,15,38,64.7,67.10000000000001,31,16.2,11.6,2.1,5.2,6.3,23.6,16.1,126.2,92.3,1.6,0.7,2.2,8.8,2.4,11.3
149,"<img src=""NA"" height=""40""></img>",D.J. Jeffries,Wing,22.5,79,NA,218,13,27.6,10.8,1.8,1.7,0.4,0.8,1.4,3.8,5.2,0.8,36,16,21,50.4,53.1,22.5,13,14.2,0.8,4.1,6.4,15.9,11.3,109.2,97.8,0.7,0.6,1.4,2.3,0.2,2.5
150,"<img src=""NA"" height=""40""></img>",Jamaree Bouyea,Lead Guard,23,74,"6'7""",180,14,34.7,17.8,3.7,2.8,1.6,1.1,0.6,4.4,5,1.4,54,38,27,61.7,63.5,24.2,21.7,16.6,2.6,3.1,2.1,13.5,8.2,120.7,90.5,1.8,1.2,3,6.3,3.4,9.6
